               Index         classified?        descriptor_1
                   1                   0    0.3375657188E+00
                   2                   0    0.2929824793E+00
                   3                   1    0.2532830788E+00
                   4                   1    0.2178336381E+00
                   5                   1    0.1860971010E+00
                   6                   1    0.1576162364E+00
                   7                   1    0.2272632674E+00
                   8                   0    0.2653983353E+00
                   9                   0    0.2914127424E+00
                  10                   1    0.2533163265E+00
                  11                   1    0.2122314050E+00
                  12                   0    0.3969980850E+00
                  13                   0    0.3900460737E+00
                  14                   0    0.3828914232E+00
                  15                   0    0.3520113920E+00
                  16                   0    0.3140284889E+00
                  17                   0    0.2673185248E+00
                  18                   1    0.2098115413E+00
                  19                   0    0.3867854065E+00
                  20                   0    0.3524234405E+00
                  21                   0    0.3137755102E+00
                  22                   0    0.2702802794E+00
                  23                   1    0.2212887148E+00
                  24                   1    0.1660476954E+00
                  25                   0    0.3482698962E+00
                  26                   0    0.3097004563E+00
                  27                   0    0.2761139518E+00
                  28                   1    0.2467195143E+00
                  29                   1    0.2208750000E+00
                  30                   0    0.2725767584E+00
                  31                   1    0.4312983642E+00
                  32                   1    0.4248159137E+00
                  33                   1    0.4152816391E+00
                  34                   1    0.4059420256E+00
                  35                   0    0.3877848264E+00
                  36                   1    0.4384967326E+00
                  37                   1    0.4354766285E+00
                  38                   1    0.4309573361E+00
                  39                   1    0.4264380437E+00
                  40                   1    0.4173777315E+00
                  41                   0    0.3902185224E+00
                  42                   0    0.3630593132E+00
                  43                   0    0.3359001041E+00
                  44                   0    0.3087408949E+00
                  45                   0    0.2815816857E+00
                  46                   0    0.2544224766E+00
                  47                   1    0.4402132594E+00
                  48                   1    0.4380386718E+00
                  49                   1    0.4347686407E+00
                  50                   1    0.4314793555E+00
                  51                   1    0.4248264922E+00
                  52                   1    0.4044074174E+00
                  53                   0    0.3832525101E+00
                  54                   0    0.3613333333E+00
                  55                   0    0.3386201539E+00
                  56                   0    0.3150818730E+00
                  57                   0    0.2906859522E+00
                  58                   1    0.4388624627E+00
                  59                   1    0.4359901620E+00
                  60                   1    0.4316478287E+00
                  61                   1    0.4272518897E+00
                  62                   1    0.4182746574E+00
                  63                   0    0.3900000000E+00
                  64                   0    0.3595518529E+00
                  65                   0    0.3267538644E+00
                  66                   1    0.4425725688E+00
                  67                   1    0.4415968782E+00
                  68                   1    0.4401448600E+00
                  69                   1    0.4387023583E+00
                  70                   1    0.4358387102E+00
                  71                   1    0.4274743104E+00
                  72                   1    0.4194248869E+00
                  73                   1    0.4116729784E+00
                  74                   1    0.4042023910E+00
                  75                   1    0.4412161300E+00
                  76                   1    0.4394926921E+00
                  77                   1    0.4368328070E+00
                  78                   1    0.4340732153E+00
                  79                   1    0.4282277971E+00
                  80                   1    0.4079546314E+00
                  81                   1    0.4387623069E+00
                  82                   1    0.4358181300E+00
                  83                   1    0.4313402749E+00
                  84                   1    0.4267743868E+00
                  85                   1    0.4173485418E+00
                  86                   1    0.4323353663E+00
                  87                   1    0.4263905013E+00
                  88                   1    0.4176824354E+00
                  89                   1    0.4091931204E+00
                  90                   0    0.3928047337E+00
