               Index         classified?        descriptor_1        descriptor_2
                   1                   1    0.3915918333E+04   -0.4379909774E+01
                   2                   1    0.4234073034E+04   -0.4086814169E+01
                   3                   1    0.4558617120E+04   -0.3827212076E+01
                   4                   1    0.4888892694E+04   -0.3595895118E+01
                   5                   1    0.5224222869E+04   -0.3388659838E+01
                   6                   1    0.5563910519E+04   -0.3202079203E+01
                   7                   0    0.3294085731E+04   -0.5175115207E+01
                   8                   1    0.2740039490E+04   -0.6167753961E+01
                   9                   1    0.2705310843E+04   -0.6239234450E+01
                  10                   1    0.2593320034E+04   -0.6513300493E+01
                  11                   1    0.2483721961E+04   -0.6805525217E+01
                  12                   1    0.4198724184E+04   -0.3863683847E+01
                  13                   1    0.4360668850E+04   -0.3695512224E+01
                  14                   1    0.2262482905E+04   -0.7135847567E+01
                  15                   1    0.1941025792E+04   -0.8189717847E+01
                  16                   1    0.1633430001E+04   -0.9572923301E+01
                  17                   1    0.1340532211E+04   -0.1146238074E+02
                  18                   1    0.1063148557E+04   -0.1418770015E+02
                  19                   1    0.2682995403E+04   -0.6362052731E+01
                  20                   1    0.2395810910E+04   -0.7173847663E+01
                  21                   1    0.2123010334E+04   -0.8148711944E+01
                  22                   1    0.1864389444E+04   -0.9336639392E+01
                  23                   1    0.1619741371E+04   -0.1080981132E+02
                  24                   1    0.1388856516E+04   -0.1267633904E+02
                  25                   1    0.4136389166E+04   -0.4178125470E+01
                  26                   1    0.4571242612E+04   -0.3825090854E+01
                  27                   1    0.5015337503E+04   -0.3522882883E+01
                  28                   1    0.5466854698E+04   -0.3261622632E+01
                  29                   1    0.5923894112E+04   -0.3033791749E+01
                  30                   1    0.5442180836E+04   -0.3324192643E+01
                  31                   1    0.3368119668E+04   -0.5004936506E+01
                  32                   1    0.3401670450E+04   -0.4961231993E+01
                  33                   1    0.3452061843E+04   -0.4897094699E+01
                  34                   1    0.3502673626E+04   -0.4834426650E+01
                  35                   1    0.3604793057E+04   -0.4713025388E+01
                  36                   1    0.3301143274E+04   -0.5096711253E+01
                  37                   1    0.3301054185E+04   -0.5097845167E+01
                  38                   1    0.3300920236E+04   -0.5099541251E+01
                  39                   1    0.3300785526E+04   -0.5101236485E+01
                  40                   1    0.3300513166E+04   -0.5104632549E+01
                  41                   1    0.3299678363E+04   -0.5114792212E+01
                  42                   1    0.3298815929E+04   -0.5124921410E+01
                  43                   1    0.3297925761E+04   -0.5135020282E+01
                  44                   1    0.3297007760E+04   -0.5145088963E+01
                  45                   1    0.3296061823E+04   -0.5155127588E+01
                  46                   1    0.3295087848E+04   -0.5165136292E+01
                  47                   1    0.3285021635E+04   -0.5120416573E+01
                  48                   1    0.3276887203E+04   -0.5133476987E+01
                  49                   1    0.3264733449E+04   -0.5153112559E+01
                  50                   1    0.3252602029E+04   -0.5172859089E+01
                  51                   1    0.3228348111E+04   -0.5212784708E+01
                  52                   1    0.3156181760E+04   -0.5335228138E+01
                  53                   1    0.3084820139E+04   -0.5461966605E+01
                  54                   1    0.3014262009E+04   -0.5593205945E+01
                  55                   1    0.2944506124E+04   -0.5729164687E+01
                  56                   1    0.2875551240E+04   -0.5870075021E+01
                  57                   1    0.2807396112E+04   -0.6016183853E+01
                  58                   1    0.3273528118E+04   -0.5138525880E+01
                  59                   1    0.3259676846E+04   -0.5160778261E+01
                  60                   1    0.3239005638E+04   -0.5194342354E+01
                  61                   1    0.3218401397E+04   -0.5228228442E+01
                  62                   1    0.3177295476E+04   -0.5297150063E+01
                  63                   1    0.3055686721E+04   -0.5511949686E+01
                  64                   1    0.2936489490E+04   -0.5739822334E+01
                  65                   1    0.2819699095E+04   -0.5981851180E+01
                  66                   1    0.3332350081E+04   -0.5040845585E+01
                  67                   1    0.3347928477E+04   -0.5014310876E+01
                  68                   1    0.3371319299E+04   -0.4974928411E+01
                  69                   1    0.3394805256E+04   -0.4935930213E+01
                  70                   1    0.3442177130E+04   -0.4858884497E+01
                  71                   1    0.3586482982E+04   -0.4636698533E+01
                  72                   1    0.3734264446E+04   -0.4426924734E+01
                  73                   1    0.3885547782E+04   -0.4228687073E+01
                  74                   1    0.4040359065E+04   -0.4041184592E+01
                  75                   1    0.3220824127E+04   -0.5207427265E+01
                  76                   1    0.3180769981E+04   -0.5265670827E+01
                  77                   1    0.3121078038E+04   -0.5355106894E+01
                  78                   1    0.3061683873E+04   -0.5447389340E+01
                  79                   1    0.2943524123E+04   -0.5641518408E+01
                  80                   1    0.2596942880E+04   -0.6307920949E+01
                  81                   1    0.3229630064E+04   -0.5216476997E+01
                  82                   1    0.3194062091E+04   -0.5279061564E+01
                  83                   1    0.3141182506E+04   -0.5374734567E+01
                  84                   1    0.3088715036E+04   -0.5472908530E+01
                  85                   1    0.2984765501E+04   -0.5677632631E+01
                  86                   1    0.3391592967E+04   -0.4975152635E+01
                  87                   1    0.3436988723E+04   -0.4917386704E+01
                  88                   1    0.3505236017E+04   -0.4833181000E+01
                  89                   1    0.3573856690E+04   -0.4751550613E+01
                  90                   0    0.3712522507E+04   -0.4595212257E+01
